Latitude,Longitude,Min. Depth,Temp. Gradient
33.4167,-112.0167,107,29
33.3858,-110.8525,190,28
33.3167,-111.7167,100,44
33.2833,-112.6183,143,50
33.2356,-112.9686,80,27
33.1844,-112.65,46,30
33.1525,-110.8186,270,25
33.1333,-109.9167,260,32
33.1025,-111.5681,70,23
33.1019,-111.5856,80,22
33.1019,-111.5847,130,25
33.1011,-111.5858,40,22
33.085,-111.0178,50,26
33.0847,-111.0181,80,26
33.0836,-111.4003,100,31
33.0833,-109.3667,340,22
33.0525,-111.4172,170,33
33.0511,-111.3842,110,28
33.0333,-110.6833,168,18
32.9833,-109.7833,200,37
32.9833,-109.7,40,31
32.9525,-109.6019,290,34
32.9522,-109.6181,480,32
32.835,-108.9189,120,35
32.7833,-109.3833,100,45
32.7833,-111.4833,200,35
32.7683,-111.985,570,28
32.7519,-110.3686,280,64
32.7014,-114.6167,30,38
32.6667,-110.7,914,17
32.635,-108.4856,220,30
32.6169,-110.8014,180,22
32.6,-111.6,100,26
32.5336,-108.3672,410,23
32.4167,-111.5333,150,28
32.3856,-111.3858,370,37
32.335,-112.9022,280,26
32.3333,-108.8506,140,67
32.3192,-112.8692,550,30
32.3019,-112.8525,480,24
32.2192,-112.7192,110,47
32.1833,-111.1167,152,29
32.1336,-110.0683,230,24
32.1003,-110.0514,260,26
32.1,-112.75,200,34
32.035,-110.0669,210,21
31.9833,-111.0667,330,37
31.9667,-111.0667,91,26
31.9342,-110.6847,320,27
31.9011,-111.035,91,23
31.8833,-111,370,28
31.8833,-111.1333,100,30
31.8667,-110.8,220,24
31.8333,-110.75,480,24
31.8008,-111.3008,250,51
31.7525,-109.7344,130,27
31.7358,-109.785,160,28
31.735,-109.7853,170,27
31.3686,-110.6844,300,28
31.3358,-110.6856,240,33
36.2833,-92.9167,480,20
36.05,-92.8667,450,13
35.5514,-90.0339,320,22
34.7,-92.25,65,25
34.7,-90.7,30,23
34.3833,-93.8333,40,21
33.9333,-94.25,40,19
41.9858,-121.7,60,90
41.9683,-122.3025,44,40
41.9508,-122.3189,122,41
41.9503,-121.9853,15,118
41.8858,-122.5181,20,6
41.8858,-122.4833,20,13
41.8847,-122.3856,35,6
41.8517,-123.3525,122,16
41.8192,-121.2503,150,33
41.8178,-122.4336,57,23
41.8014,-122.0014,150,14
41.8014,-122.0017,30,13
41.7339,-121.8667,15,6
41.7333,-120.3686,56,6
41.7189,-121.6667,60,10
41.7006,-121.335,15,189
41.685,-121.8681,90,14
41.6686,-121.1167,84,29
41.6675,-122.4189,87,30
41.65,-121.0522,40,32
41.6358,-121.1681,20,41
41.6356,-121.1169,92,43
41.6347,-120.3858,15,69
41.6019,-121.2017,20,18
41.6014,-122.5192,3,54
41.5844,-121.9508,20,9
41.5689,-122.8686,102,16
41.5678,-122.885,50,6
41.5672,-121.35,15,45
41.5669,-122.8692,44,13
41.5508,-121.1178,38,92
41.5508,-122.5333,28,21
41.5506,-122.2511,64,23
41.4675,-121.4025,54,22
41.4672,-120.1689,30,92
41.4181,-122.4858,40,17
41.2678,-122.6011,42,16
41.2,-121.1339,15,18
41.1358,-121.0517,20,132
40.9856,-120.8839,40,90
40.7192,-120.3022,75,64
40.5172,-120.6689,160,19
40.4011,-121.4356,165,51
40.3847,-121.5339,158,64
40.3525,-120.9353,76,47
40.3508,-121.4858,30,91
40.3358,-121.55,91,31
40.3344,-121.45,46,32
40.2181,-120.8,46,22
40.2008,-120.2358,91,102
40.1667,-121.5008,122,18
39.8358,-120.4672,60,22
39.7,-122.8833,175,15
39.7,-122.8,220,16
39.5667,-123.1167,153,21
39.4511,-121.9847,122,24
39.4333,-123.7333,444,65
39.4,-120.8681,246,7
38.9833,-120.3167,100,18
38.9167,-121.6008,114,20
38.8683,-121.05,30,17
38.8667,-120.65,250,11
38.8344,-121.835,61,19
38.8333,-121.1667,250,9
38.8333,-120.25,180,11
38.55,-120.5667,170,10
37.8669,-118.8514,150,9
37.8667,-122.25,33,40
37.8517,-119.0681,25,31
37.8192,-118.8019,100,6
37.8,-121.5833,33,29
37.6833,-118.5333,183,33
37.6683,-118.6356,90,25
37.6678,-118.6667,50,78
37.65,-118.6022,125,24
37.6339,-118.6833,110,30
37.6192,-119.0683,150,51
37.4844,-119.3003,60,18
37.4833,-122.1333,114,57
37.45,-122.1667,68,48
37.45,-122.0333,160,58
37.4,-118,250,28
37.3353,-118.5506,100,14
37.3344,-118.5336,160,14
37.3167,-122.1167,92,28
37.1667,-120.0667,203,6
37.1333,-118.9833,60,17
37.1,-119.7333,280,8
37.1,-119.3833,201,12
36.8011,-117.7669,14,390
36.7858,-117.7692,49,37
36.7839,-117.7858,18,49
36.7672,-117.8011,13,30
36.7522,-119.6511,42,33
36.7511,-117.8025,27,30
36.7347,-117.8186,80,40
36.7339,-117.8181,50,42
36.7336,-120.2175,61,28
36.7175,-121.4011,278,26
36.7014,-117.7014,13,46
36.685,-120.5019,30,28
36.5856,-119.9842,85,35
36.4003,-120.1,30,29
36.1192,-117.8025,20,29
36.1008,-117.7517,20,29
36.1003,-117.8167,25,23
36.1,-117.8336,20,35
36.0672,-117.7519,15,163
36.0508,-117.8833,20,50
36.0506,-117.8006,30,296
36.0506,-117.8014,15,5
36.0506,-117.8506,15,69
36.0356,-117.7342,15,46
36.0025,-117.7833,15,366
36.0008,-117.85,20,88
36.0008,-117.8181,15,67
35.9833,-117.8025,15,48
35.9333,-117.7681,15,73
35.8011,-117.5517,45,52
35.6667,-121.8167,1010,108
35.5517,-117.5836,30,15
35.5189,-117.6506,34,37
35.4667,-117.6183,85,30
35.4667,-119.75,30,34
35.4522,-117.5511,46,27
35.4333,-120.5,76,29
35.3689,-117.3522,90,29
35.3667,-121.55,970,70
35.3183,-117.6181,21,29
35.3025,-117.3339,46,26
35.285,-119.535,685,31
35.2833,-119.3667,2091,29
35.2675,-119.4167,1391,28
35.2514,-117.5342,61,23
35.0344,-117.9167,61,26
35,-121.0333,590,71
34.9678,-117.4853,30,29
34.9342,-118.8167,76,20
34.9336,-118.8022,320,18
34.9336,-117.7519,61,24
34.9192,-118.8014,320,19
34.8844,-118.7675,170,24
34.8833,-118.7667,122,22
34.8675,-118.7503,210,26
34.8519,-118.7347,150,24
34.7336,-118.3853,120,27
34.7192,-117.6853,65,22
34.7192,-117.0678,49,22
34.7192,-117.6853,91,24
34.6839,-118.4336,180,24
34.6503,-117.8356,115,25
34.6503,-118.4839,150,28
34.65,-114.8672,46,24
34.65,-116.6833,152,20
34.6183,-115.8183,61,50
34.6178,-114.5856,30,25
34.6167,-116.7178,600,28
34.5672,-115.4844,46,31
34.5669,-117.1011,61,23
34.5506,-117.7025,46,20
34.5353,-115.1514,84,25
34.5003,-118.2692,122,22
34.4669,-117.8506,61,28
34.4183,-117.8522,71,34
34.4175,-115.5508,79,28
34.4019,-116.0669,76,24
34.3525,-115.2839,38,103
34.3344,-116.4856,46,22
34.3333,-120.85,790,130
34.3175,-117.4686,85,27
34.2844,-116.2,55,153
34.2689,-116.2358,30,38
34.2675,-117.3186,200,18
34.2508,-116.1353,110,80
34.2503,-117.3186,300,25
34.25,-117.3172,430,26
34.2358,-116.0333,30,26
34.2344,-115.7178,68,17
34.2333,-120.1333,560,69
34.2181,-116.4006,115,16
34.2175,-116.0508,61,27
34.2167,-121.4667,560,63
34.2017,-116.0339,61,13
34.2003,-116.0503,61,27
34.1014,-115.4683,37,49
34.1003,-115.3503,61,34
34.0844,-116.0019,61,14
34.0675,-115.7517,47,20
34.035,-115.2006,30,17
33.9842,-115.6842,152,14
33.9667,-117.6333,30,55
33.9178,-115.3006,46,34
33.8667,-119.7333,1570,88
33.8667,-115.4333,350,19
33.8169,-114.85,76,35
33.8022,-116.1675,100,18
33.8,-119.6,1870,67
33.8,-119.65,1710,68
33.7189,-114.5181,46,25
33.6503,-115.7169,61,40
33.6333,-118.5,836,117
33.6167,-119.4667,1850,93
33.6022,-116.2669,76,37
33.6022,-116.4514,76,21
33.6017,-116.4506,122,22
33.5856,-115.8689,30,35
33.5667,-118.4333,860,75
33.55,-119.4667,1840,91
33.5342,-116.6006,110,26
33.5333,-118.3,824,84
33.5183,-116.8011,110,22
33.5167,-119.4,1710,104
33.5,-118.4,870,80
33.5,-119.3,1500,96
33.4856,-114.8342,30,23
33.4847,-116.5856,160,25
33.4511,-115.4678,46,34
33.4508,-115.6847,91,50
33.4347,-115.1342,107,15
33.4181,-114.4672,91,34
33.4,-118.85,1250,87
33.3667,-118.7667,1250,104
33.3189,-115.3339,61,62
33.3,-118.65,1250,92
33.2833,-112.6183,143,51
33.2667,-120.0667,1100,98
33.25,-118.6167,1270,89
33.2333,-119.05,1180,79
33.2,-118.45,1180,96
33.1853,-114.9008,46,29
33.1847,-112.65,46,31
33.1833,-118.4833,1100,87
33.1689,-116.2003,30,67
33.1667,-118.3,1090,155
33.1333,-118.5333,1200,102
33.1167,-119.15,1700,102
33.1,-119.2,1630,85
33.1,-120.0167,1190,83
33.0839,-115.3011,60,90
33.0678,-115.4022,86,73
33.035,-115.0511,58,65
33.0333,-119.0667,1700,96
33.0333,-119.7833,1460,71
33.0025,-115.1,66,98
33.0014,-115.4017,80,88
32.95,-117.8333,1050,92
32.95,-118.9667,1670,94
32.935,-115.7858,61,63
32.9333,-115.4511,66,67
32.9333,-117.7,970,171
32.9183,-115.535,61,43
32.9181,-115.6856,67,47
32.9172,-114.8356,61,22
32.9025,-115.3519,44,86
32.9,-119.7333,1370,89
32.885,-115.6347,61,72
32.8844,-115.4008,68,89
32.8842,-115.1022,50,42
32.8508,-115.4675,61,49
32.8356,-115.5503,61,66
32.8347,-115.8667,30,38
32.8339,-115.6186,65,53
32.8167,-115.7672,66,52
32.8167,-119.9,1110,125
32.8,-118.9333,1450,91
32.7847,-115.7006,62,27
32.7667,-119.8833,1110,109
32.7525,-115.7858,67,42
32.7333,-117.6,1040,109
32.6858,-116.0011,30,33
32.6,-117.55,1145,120
32.6,-118.1833,1820,161
32.5667,-118.4833,1120,85
32.5,-118.1,1840,98
32.4833,-118.3333,840,162
32.4667,-118,1830,109
32.4333,-117.7667,1490,172
32.4333,-118.1167,1960,108
32.4,-117.5,1190,86
32.2833,-119.3,1740,141
32.25,-118.4,1500,98
32.2167,-118.6333,1630,112
32.2,-117.9667,1850,91
31.6167,-118.6667,2330,207
31.35,-117.8333,1970,117
31.1167,-118.55,2150,113
30.75,-118.1833,2470,101
40.9167,-107.4333,3588,22
40.7347,-105.5189,50,24
40.65,-104.8333,1616,51
40.6,-104.8333,1555,52
40.1186,-105.3842,280,32
40.0833,-108.6167,1341,28
40.05,-108.5167,411,60
39.8667,-105.55,100,28
39.8,-105.5833,30,28
39.7833,-105.2667,100,20
39.7667,-105.8333,100,29
39.7667,-105.8333,100,29
39.55,-106.4,1010,20
39.5167,-106.65,440,24
39.5167,-106.3667,40,41
39.5,-105.9167,300,31
39.4667,-105.7833,100,29
39.4333,-106.1333,480,33
39.3181,-106.1186,400,37
